Complaint ID,Complaint Text,Department
1,The street lights are not working properly,Electricity
2,Garbage collection has been irregular for a week,Sanitation
3,Water supply has been disrupted for two days,Water
4,The road near my house has several potholes,Public Work
5,The traffic signals at the intersection are faulty,Traffic
6,The local clinic has long waiting times,Health
7,The power lines in my area are damaged.,Electricity
8,The sewer system is clogged and causing flooding.,Sanitation
9,There is no water supply in our locality,Water
10,The sidewalk needs repair due to cracks,Public Work
11,The traffic congestion in the main market is severe,Traffic
12,The health clinic has inadequate staff,Health
13,Electricity supply is frequently interrupted,Electricity
14,Trash bins are overflowing in the park.,Sanitation
15,The water quality is poor and contaminated,Water
16,The public road construction is incomplete,Public Work
17,The traffic lights on the highway are not functional,Traffic
18,There are not enough doctors in the hospital,Health
19,There is a power outage in the neighborhood,Electricity
20,There is garbage piled up in the residential area.,Sanitation
21,Water pipes are leaking and causing water loss.,Water
22,The street requires proper paving,Public Work
23,There is a lack of parking regulation on busy streets,Traffic
24,The health center lacks proper medical equipment,Health
25,Street lights are flickering during the night,Electricity
26,There is no regular garbage collection in the area.,Sanitation
27,The water pressure is very low in the taps,Water
28,The road construction work is delayed,Public Work
29,Traffic police are not managing peak hour traffic,Traffic
30,The local hospital has poor hygiene conditions,Health
31,Power cables are lying exposed on the streets,Electricity
32,Uncollected garbage is attracting pests in the area,Sanitation
33,There is a water leak on the main street,Water
34,The pedestrian crossing is damaged,Public Work
35,Vehicles are often parked illegally in no-parking zones,Traffic
36,The pharmacy in the hospital has run out of medicines.,Health
37,The street lights in my area are not working for the past week.,Electricity
38,There is no water supply in the morning for the past three days.,Water
39,The garbage has not been collected in our area for a week.,Sanitation
40,"A pothole has appeared in the main road, causing traffic issues.",Public Works
41,The traffic lights at the intersection are not functioning properly.,Traffic
42,The public hospital in my area lacks proper sanitation.,Health
43,"Frequent power outages in the evening, disrupting daily life.",Electricity
44,There is a major leak in the water pipeline in our street,Water
45,"Garbage is piling up in the neighborhood, and it's attracting rodents.",Sanitation
46,The footpath on the main street is damaged and dangerous to walk on.,Public Works
47,The traffic congestion near the school area is unbearable during peak hours.,Traffic
48,The hospital is running out of essential medicines and needs immediate supply.,Health
49,"The street transformer has been malfunctioning, causing power fluctuations.",Electricity
50,Our water supply has been contaminated with dirt and impurities.,Water
51,"The drainage system in our area is clogged, leading to waterlogging.",Sanitation
52,"Road construction work has been halted midway, causing inconvenience.",Public Works
53,The traffic police are not managing the junction during rush hours properly.,Traffic
54,"The hospital staff are rude, and the hygiene is terrible.",Health
55,Voltage fluctuations are damaging appliances in the locality.,Electricity
56,There is a broken water pipe in our society that is causing water wastage.,Water
57,"The neighborhood park is filled with litter, and no one is cleaning it.",Sanitation
58,The newly constructed road has developed cracks and potholes already.,Public Works
59,"The zebra crossing at the traffic signal is worn out, causing confusion.",Traffic
60,The health clinic in my area is overcrowded and lacks proper ventilation.,Health
61,There are frequent tripping and short circuits in the electric line.,Electricity
62,The water in my tap is coming out with low pressure.,Water
63,The public toilets in the market are extremely unhygienic,Sanitation
64,The road work near our colony has been pending for several months.,Public Works
65,"The pedestrian signal takes too long to change, causing delays for walkers",Traffic
66,"The hospital emergency services are slow, and patients are not attended to.",Health
67,Frequent electric surges have been damaging home appliances.,Electricity
68,"The water pipeline has been leaking for several days, wasting water.",Water
69,"The streets are not being cleaned regularly, and garbage is piling up.",Sanitation
70,"The speed breakers on the main road are not visible at night, causing accidents.",Public Works
71,"The traffic signals are not synchronized, leading to heavy congestion.",Traffic
72,The hospital has insufficient beds for patients.,Health
73,The electricity supply is frequently getting interrupted during peak hours.,Electricity
74,"Water quality in our area is bad, and it smells foul.",Water
75,"The public dustbins are overflowing, and no one is collecting the garbage.",Sanitation
76,"The newly built bridge has cracks, and it seems unsafe.",Public Works
77,"The traffic signs are missing near the construction area, causing confusion",Traffic
78,The public health center has inadequate facilities for treatment,Health
79,"The electric poles are too close to the road, and accidents are happening",Electricity
80,Water is being wasted due to a burst pipe on the main street.,Water
81,"The streets in our area are filled with plastic waste, and it's not being cleaned.",Sanitation
82,"The footpath is uneven, making it difficult for the elderly to walk.",Public Works
83,The traffic congestion during office hours is unbearable due to improper signals.,Traffic
84,The hospital lacks proper equipment for patient treatment.,Health
85,The streetlights have been flickering and sometimes don't work at all.,Electricity
86,"The water supply timing is erratic, and we receive water at odd hours",Water
87,"Garbage trucks are not coming regularly, leading to accumulation of waste",Sanitation
88,Potholes on the road are getting larger and more dangerous for vehicles.,Public Works
89,"The traffic police are not present during peak hours, causing traffic jams.",Traffic
90,"The hospital is understaffed, and patients are waiting for hours.",Health
91,"Power supply is inconsistent in the evenings, making it hard to work.",Electricity
92,There is a serious water scarcity issue in our locality for the past week.,Water
93,Public toilets in the bus station are not maintained properly.,Sanitation
94,The road repair work has left debris and construction material on the road.,Public Works
